"schema_version","study_id","record_id","evaluation_class","estimand","phase","arm","skill_sha256","comparison_profile_sha256","cohort_digest_set","paired_lock_sha256","native_job_sha256","source_report_sha256","paired_report_sha256","requested_trials","raw_completed_trials","semantic_evaluable_trials","passed_trials","raw_zero_rewards","errored_trials","pass_rate","raw_reported_mean_reward","semantic_mean_reward","raw_average_agent_latency_ms","pass_rate_delta_vs_control","mean_reward_delta_vs_control","latency_ms_delta_vs_control","case_regressions","candidate_qualified","phase_decision","validation_released","holdout_registered","holdout_cohort_sha256","holdout_task_count","holdout_released","holdout_jobs_run","promotion_status","total_tokens","token_coverage","cost_usd","cost_coverage","comparability","limitations","validation_incident_sha256","holdout_incident_sha256"
"1","zx-workflow-author-g010-evolution-v1-20260904","development-g009-control","paired-deterministic-contract","workflow-contract-conformance","development","g009-control","144aecf4d5bd6877c233a9911ba22a5114807322a0738731fc3f39e16f84f27f","a4cc048c86ef886eee63fd445789fafe072e07a43382303a87587a2010c2af74","7ed73a87e67dc9617f66370d98389836db6453dd9dc08c534b3820cd5716f652|3cc930a335ac45409ca92524f20376c7129012f3b6a642b96c526623e8424ddf|1f6a7ac4fbf24afbe47bd6bf8eadce1cc2d600afaaff859e3b806f4b8f191201|5c5eceea32429248d38aaab4521277cb5bd1297edde6995016f210caf10d0c48","c01f62b795aa09fba9a35d879d95dd6a3add350bf843ac4d4c01ada862a6a525","047374b45aaf616e79f719a13932640086ee2c3df376b57988deca38d1ca59f5","8cc54b501bb4fb183b00bb58c6529f7a260dc2410b65566f2054760a8e31e602","cbb90e9a476f09a12bfd9530b8afb4b8f59a156a0c21e099e405c42a1a7b586e","10","10","10","9","1","0","0.9","0.9","0.9","2038.1185","0","0","0","0","false","reference","true","true","e4437b2c9aeedf641d2bdcf7711aafba022c4e4273ff5df5bea85b1f29539fbc","2","false","0","not-assessed-invalid-validation","n/a","none","n/a","none","paired-within-phase-only","Deterministic skill-contract conformance; not direct problem solving; development n=10; tokens and cost unavailable; validation and holdout fixtures were incompatible before treatment","88d2d07902d90b8de92c1768144b070c5d53df40aa4ed0917bd50f51d450c066","27e70313b4262b206b69c21d72765fc3386048f7bf6c00984db7444231124c45"
"1","zx-workflow-author-g010-evolution-v1-20260904","development-g010-treatment","paired-deterministic-contract","workflow-contract-conformance","development","g010-treatment","603f0d7c1a3f6d69aff85bf299e231369ea9751e5691e46fa0f56663228ef2be","a4cc048c86ef886eee63fd445789fafe072e07a43382303a87587a2010c2af74","7ed73a87e67dc9617f66370d98389836db6453dd9dc08c534b3820cd5716f652|3cc930a335ac45409ca92524f20376c7129012f3b6a642b96c526623e8424ddf|1f6a7ac4fbf24afbe47bd6bf8eadce1cc2d600afaaff859e3b806f4b8f191201|5c5eceea32429248d38aaab4521277cb5bd1297edde6995016f210caf10d0c48","c01f62b795aa09fba9a35d879d95dd6a3add350bf843ac4d4c01ada862a6a525","e624c040e0c0ed83217c9d7469ec5d62c6f2e09114f24d6dcc2d48f95a3b8274","34a20017cfa8db79be3d73003bb0a172436cd374fccda708c8aea6e65c8d6aa5","cbb90e9a476f09a12bfd9530b8afb4b8f59a156a0c21e099e405c42a1a7b586e","10","10","10","10","0","0","1.0","1.0","1.0","1999.4419","0.1","0.1","-38.6766","0","true","selected-development-only","true","true","e4437b2c9aeedf641d2bdcf7711aafba022c4e4273ff5df5bea85b1f29539fbc","2","false","0","not-assessed-invalid-validation","n/a","none","n/a","none","paired-within-phase-only","Deterministic skill-contract conformance; not direct problem solving; development n=10; tokens and cost unavailable; validation and holdout fixtures were incompatible before treatment","88d2d07902d90b8de92c1768144b070c5d53df40aa4ed0917bd50f51d450c066","27e70313b4262b206b69c21d72765fc3386048f7bf6c00984db7444231124c45"
"1","zx-workflow-author-g010-evolution-v1-20260904","validation-g009-control-unavailable","excluded-pre-treatment-fixture","unavailable","validation","g009-control","144aecf4d5bd6877c233a9911ba22a5114807322a0738731fc3f39e16f84f27f","a4cc048c86ef886eee63fd445789fafe072e07a43382303a87587a2010c2af74","a04c4fe6fa8ed84649761e0d8c1299e5281b1bdf90a120fbd333ff8b6c983cb8","513b390ec7dde2b7a0f4b247f4477a2379a99a9f948a1e6bddbb0b2f74aea107","9dfd2efa5ebe75a8453a1c2fdf255fb1726823b71af1ec263d117681653d122b","1c2d9ff6ddef9751b19ae10dd4d0b3875d8378dcd870aad042f68e591ad9c33c","7c9a10a3bfc5f65c55c45c160053bbcf7f2ba0046ab74f4bd9ee8fcdaab646d3","2","2","0","n/a","2","0","n/a","0","n/a","1069.479","n/a","n/a","n/a","n/a","n/a","invalid-batch","true","true","e4437b2c9aeedf641d2bdcf7711aafba022c4e4273ff5df5bea85b1f29539fbc","2","false","0","not-assessed-invalid-validation","n/a","none","n/a","none","not-comparable","Candidate was never loaded; raw zero rewards are audit placeholders, not skill outcomes; no automatic retry contract applies","88d2d07902d90b8de92c1768144b070c5d53df40aa4ed0917bd50f51d450c066","27e70313b4262b206b69c21d72765fc3386048f7bf6c00984db7444231124c45"
"1","zx-workflow-author-g010-evolution-v1-20260904","validation-g010-treatment-unavailable","excluded-pre-treatment-fixture","unavailable","validation","g010-treatment","603f0d7c1a3f6d69aff85bf299e231369ea9751e5691e46fa0f56663228ef2be","a4cc048c86ef886eee63fd445789fafe072e07a43382303a87587a2010c2af74","a04c4fe6fa8ed84649761e0d8c1299e5281b1bdf90a120fbd333ff8b6c983cb8","513b390ec7dde2b7a0f4b247f4477a2379a99a9f948a1e6bddbb0b2f74aea107","2ff10f5828a35b93e90ebde5cc7b21f1fec26a0370a83185c3f1ba95ce1b7da4","04121b115148c6a2931555b9935f505c0b8052d9fac48857de040db977121364","7c9a10a3bfc5f65c55c45c160053bbcf7f2ba0046ab74f4bd9ee8fcdaab646d3","2","2","0","n/a","2","0","n/a","0","n/a","991.48","n/a","n/a","n/a","n/a","n/a","invalid-batch","true","true","e4437b2c9aeedf641d2bdcf7711aafba022c4e4273ff5df5bea85b1f29539fbc","2","false","0","not-assessed-invalid-validation","n/a","none","n/a","none","not-comparable","Candidate was never loaded; raw zero rewards are audit placeholders, not skill outcomes; no automatic retry contract applies","88d2d07902d90b8de92c1768144b070c5d53df40aa4ed0917bd50f51d450c066","27e70313b4262b206b69c21d72765fc3386048f7bf6c00984db7444231124c45"
