"schema_version","reference_id","evidence_class","benchmark","dataset_id","unique_task_count","arm","model","reasoning_effort","codex_version","candidate_generation","candidate_tree_sha256","product_commit","native_trials","native_retries","task_solved","official_reward","assertions_passed","assertions_total","assertion_rate","f2p_passed","f2p_total","p2p_passed","p2p_total","native_evaluable","native_errors","native_error_type","workflow_runs","workflow_passes","nested_processes","nested_usage_missing","nested_auth_unavailable","nested_timeouts","outer_requests_observed","outer_tool_calls","outer_input_tokens","outer_cached_input_tokens","outer_cache_write_tokens","outer_output_tokens","outer_reasoning_tokens","known_total_tokens","usage_coverage","outer_cost_usd","total_cost_usd","cost_basis","agent_time_seconds","supervisor_wall_seconds","agent_time_limit_seconds","workflow_protocol","native_pair_gate","comparison_profile_sha256","task_set_sha256","native_job_sha256","source_report_sha256","source_result_sha256","supplemental_metrics_sha256","trajectory_sha256","limitations","postrun_audit_sha256"
"1","luna-g012-terminal-control-20260904","descriptive-operational","terminal-bench","terminal-development-v1","1","codex-luna-only","gpt-5.6-luna","high","0.153.0","none","n/a","e9a880b0fecc7fbbce532d79b3327e2fde56c9b9","1","0","0","0","9","16","0.5625","n/a","n/a","n/a","n/a","true","0","none","0","0","0","0","0","0","67","66","4734982","4497664","0","43909","29437","4778891","complete-observed-trace","0.19010768","0.19010768","agent-reported API-price equivalent; not subscription invoice","1040.03","1176.374","1800","not-applicable","input-locks-pass","44b3867541108b7c34889ed6c30c6ee64d813d10a6574738fa4626a3ea9c0ee4","0174ed289aa6b19cfd1221ef3a6385179c34c40e4dd9df5f23fcf6ac44cadb99","9e39cb0ac715eb27733f7894b72e94d0a076ce526cedd717659d1f04c52fcd6b","4b6fd1f9311ca5c2746b8c2656307d5b35076d370e718e8fa16b2b82bfded0d0","4dc1309e815b041d0fb7654007b385486c20d253054d6dcc5973d738371e001b","bc40589c7ff8bab97b3156d413400b797f193584174bb6ec180149d28b2a10e2","da7097cc65ad8f97ba910c20625065b571fcdb2f42f38c8ca7b45b130e8019d3","n=1 previously released development task; not full-dataset efficacy; no causal, efficiency, or Pareto claim","6b4216caff27a28d38249235f1acd435ebb230d568f3e9d8bfae96e05ad8683a"
"1","luna-g012-terminal-treatment-20260904","descriptive-operational","terminal-bench","terminal-development-v1","1","codex-luna-g012","gpt-5.6-luna","high","0.153.0","G012","685ae3198523819d714febbcb3ab5f0fd9c8a3a5c21f7e27640c735cbfa9104f","e9a880b0fecc7fbbce532d79b3327e2fde56c9b9","1","0","0","0","0","16","0","n/a","n/a","n/a","n/a","false","1","AgentTimeoutError","2","0","2","2","1","1","83","83","7110000","6918400","0","37360","19596","7147360","lower-bound-only","0.22152","n/a","agent-reported API-price equivalent; not subscription invoice","1800.951","1908.673","1800","violated","input-locks-pass","44b3867541108b7c34889ed6c30c6ee64d813d10a6574738fa4626a3ea9c0ee4","0174ed289aa6b19cfd1221ef3a6385179c34c40e4dd9df5f23fcf6ac44cadb99","c7873ac5065b530b5cf81e2e1309cf01d86fbcf5001621a9487b88b83ba0a2c6","848aa56fe0be5037ec13e4d72fb5de8a397e97d0c16d42a5b65c42f299349a62","d8ab9942e195b38f98cd61c00c496e6a70f0c08350bb3df350d5f56807db4271","bc40589c7ff8bab97b3156d413400b797f193584174bb6ec180149d28b2a10e2","5c16662ee2dd49f4f122fee37161002bae5a713506282356a4d536b91c72d65a","n=1 previously released development task; not full-dataset efficacy; no causal, efficiency, or Pareto claim; Outer interrupted-turn usage is a recorded lower bound; Nested authentication unavailable; Nested usage incomplete; recorded totals are lower bounds only; One-real-workflow-invocation protocol not satisfied","6b4216caff27a28d38249235f1acd435ebb230d568f3e9d8bfae96e05ad8683a"
"1","luna-g012-deepswe-control-20260904","descriptive-operational","deep-swe","deepswe-development-v1","1","codex-luna-only","gpt-5.6-luna","high","0.153.0","none","n/a","e9a880b0fecc7fbbce532d79b3327e2fde56c9b9","1","0","0","0","723","725","0.9972413793103448","80","82","643","643","true","0","none","0","0","0","0","0","0","80","79","6771458","6593536","0","43949","22213","6815407","complete-observed-trace","0.22019392","0.22019392","agent-reported API-price equivalent; not subscription invoice","1124.847","1244.926","1800","not-applicable","rejected-custom-injection-lock","44b3867541108b7c34889ed6c30c6ee64d813d10a6574738fa4626a3ea9c0ee4","0e3202de0a3223a45321266b9d97400600410f38e86d2edcb9541eaa182c2836","8f41d496a12bf9d93f1063208fc65c0d55e092b6905dc946ea3143223c8d03b0","ea0ec9f775c460878c8d21a980d73781f754a382a7b3743c0b3160f3091c71ff","d03fde25b846e93ea3d7861731370ff373bff18fa4992c741cc700b7cf3049fa","bc40589c7ff8bab97b3156d413400b797f193584174bb6ec180149d28b2a10e2","d3b55799f92fb3ff516a31cb3e807e28ab14b748e25447649ee9d6f52ae09d2c","n=1 previously released development task; not full-dataset efficacy; no causal, efficiency, or Pareto claim","6b4216caff27a28d38249235f1acd435ebb230d568f3e9d8bfae96e05ad8683a"
"1","luna-g012-deepswe-treatment-20260904","descriptive-operational","deep-swe","deepswe-development-v1","1","codex-luna-g012","gpt-5.6-luna","high","0.153.0","G012","685ae3198523819d714febbcb3ab5f0fd9c8a3a5c21f7e27640c735cbfa9104f","e9a880b0fecc7fbbce532d79b3327e2fde56c9b9","1","0","0","0","643","725","0.886896551724138","0","82","643","643","true","0","none","1","0","1","1","1","1","64","63","4557578","4284416","0","17962","7738","4575540","lower-bound-only","0.16187512","n/a","agent-reported API-price equivalent; not subscription invoice","1274.755","1399.623","1800","followed-but-failed","rejected-custom-injection-lock","44b3867541108b7c34889ed6c30c6ee64d813d10a6574738fa4626a3ea9c0ee4","0e3202de0a3223a45321266b9d97400600410f38e86d2edcb9541eaa182c2836","8f6c695917c09c805a345d6027b5873dfca6d6a0bc875b908d2ac3819dbb8c59","d5c78e268137f218f13b2ab7b91627689a86216801fd4966919e4b508066a2ad","620a66e8df60ae686780479898312e98cea7496158f859d05c19bf040ea85643","bc40589c7ff8bab97b3156d413400b797f193584174bb6ec180149d28b2a10e2","c56fc0173849a9725de908f9851f609ff0405718ef4ecc08f90d0eeafb38083c","n=1 previously released development task; not full-dataset efficacy; no causal, efficiency, or Pareto claim; Nested authentication unavailable; Nested usage incomplete; recorded totals are lower bounds only","6b4216caff27a28d38249235f1acd435ebb230d568f3e9d8bfae96e05ad8683a"
